flat_id,room_cnt,address,metro,price,region,Парковка,Тип дома,Вид из окон,Тип перекрытий,Жилая площадь,Год постройки,Балкон/лоджия,Отопление,Общая площадь,Подъезды,Санузел,Высота потолков,Тип жилья,Ремонт,Строительная серия,Аварийность,Мусоропровод,Количество лифтов,Площадь кухни,Газоснабжение,Отделка
277993114,3,"Москва,НАО (Новомосковский),Сосенское поселение,Испанские Кварталы 2 жилой комплекс,к8.1","Прокшино,Ольховая,Филатов Луг",15581634,1,Подземная,Монолитный,На улицу и двор,,"28,4",,,,"63,5",,2 совмещенных,"2,99 м",Новостройка,,,,,"1 пассажирский, 1 грузовой","21,3",,Чистовая
286623830,6,"Москва,ЗАО,р-н Раменки,Ломоносовский просп.,25к5","Университет,Проспект Вернадского,Ломоносовский проспект",230000000,1,Подземная,Кирпичный,На улицу и двор,Железобетонные,,2013,,Центральное,454,12,4 совмещенных,"3,05 м",Вторичка Пентхаус,Без ремонта,Индивидуальный проект,Нет,Да,3 пассажирских,,,
285979604,5,"Москва,НАО (Новомосковский),Сосенское поселение,Прокшино жилой комплекс,6к1","Прокшино,Румянцево,Филатов Луг",31551530,1,,Монолитный,На улицу и двор,,"50,9",,1 балкон,,"136,7",,"3 совмещенных, 1 раздельный","2,99 м",Новостройка,,,,,"1 пассажирский, 1 грузовой",34,,Без отделки
281558803,4,"Московская область,Ленинский городской округ,Новодрожжино рп,2","Аннино,Бутово,Бульвар Дмитрия Донского",14500000,4593,Наземная,,На улицу и двор,Нет информации,60,1995,2 лоджии,Центральное,85,1,1 раздельный,"2,65 м",Вторичка,Евроремонт,,Нет,Да,2 пассажирских,"13,7",,
285295433,4,"Москва,ЮЗАО,р-н Черемушки,Профсоюзная ул.,25К1",Профсоюзная,100000000,1,,Монолитный,,Железобетонные,,2009,,Индивидуальный тепловой пункт,"150,7",3,2 совмещенных,"3,1 м",Вторичка,Дизайнерский,Индивидуальный проект,Нет,Да,,"33,1",,
277538586,4,"Москва,ЦАО,р-н Хамовники,ул. Усачева,9","Фрунзенская,Спортивная,Лужники",125000000,1,,Монолитный,На улицу и двор,Нет информации,,2021,,Нет информации,"159,5",,"2 совмещенных, 1 раздельный",,Вторичка Апартаменты,Без ремонта,,Нет,,,,,
287533572,4,"Московская область,Ленинский городской округ,Мещерино поселок,Южные Горки микрорайон,2-й квартал","Домодедовская,Зябликово,Красногвардейская",9900000,1,Наземная,Монолитный,На улицу,,,,"1 лоджия, 1 балкон",,"78,49",,"1 совмещенный, 1 раздельный","2,63 м",Вторичка,Косметический,,,,1 пассажирский,"15,1",,
290649494,4,"Московская область,Химки,мкр. Новые Химки,Юбилейный просп.,76","Беломорская,Сходненская,Планерная",15000000,1,Наземная,,Во двор,Железобетонные,"56,3",1976,1 балкон,Центральное,"73,1",4,1 раздельный,"2,5 м",Вторичка,Евроремонт,,Нет,Да,1 пассажирский,"7,1",Центральное,
286714964,5,"Москва,ЦАО,р-н Замоскворечье,Большая Татарская ул.,7к1","Третьяковская,Третьяковская",243000000,1,Подземная,Кирпичный,На улицу и двор,Железобетонные,,2011,1 балкон,Центральное,"288,8",12,3 совмещенных,"3,2 м",Вторичка,Без ремонта,Индивидуальный проект,Нет,,,21,,
278927075,5,"Москва,ЦАО,р-н Тверской,ул. Фадеева,4А","Новослободская,Новослободская",180000000,1,,Монолитно-кирпичный,Во двор,Железобетонные,,2013,,Центральное,199,9,,"3,4 м",Вторичка,Без ремонта,Индивидуальный проект,Нет,,,,,
280251616,4,"Москва,ЦАО,р-н Хамовники,ул. Ефремова,19к2","Спортивная,Лужники,Фрунзенская",403200000,1,Подземная,Монолитный,Во двор,Железобетонные,83,2015,,Индивидуальный тепловой пункт,"201,6",3,"2 совмещенных, 1 раздельный","3,9 м",Вторичка,Дизайнерский,Индивидуальный проект,Нет,,,"47,2",,
288710158,4,"Московская область,Химки,мкр. Новые Химки,Молодежная ул.,76",Речной вокзал,20000000,1,,Панельный,,Железобетонные,,2009,,Центральное,103,9,,,Вторичка,Евроремонт,,Нет,Нет,,,,
287963147,5,"Москва,ЗАО,р-н Очаково-Матвеевское,Староволынская ул.,15к1","Давыдково,Филёвский парк,Минская",280000000,1,Подземная,Монолитный,На улицу и двор,Железобетонные,,2006,1 балкон,Центральное,293,5,3 совмещенных,"3,3 м",Вторичка,Дизайнерский,Индивидуальный проект,Нет,Да,2 пассажирских,,,
278638054,2,"Москва,ЮВАО,р-н Рязанский,ул. Михайлова,30Ак2","Окская,Стахановская,Рязанский проспект",17944444,1,Открытая,Монолитный,Во двор,,"25,6",,,,"56,74",,2 совмещенных,"2,67 м",Новостройка,,,,,4 пассажирских,"22,8",,Чистовая
278613304,5,"Москва,ЦАО,р-н Хамовники,пер. Коробейников,1","Парк Культуры,Кропоткинская,Октябрьская",444652490,1,,Монолитный,На улицу и двор,Железобетонные,,2006,1 лоджия,Центральное,"213,4",9,3 совмещенных,,Вторичка,Без ремонта,Индивидуальный проект,Нет,,2 пассажирских,,,
283680381,2,"Москва,ЦАО,р-н Хамовники,Комсомольский просп.,42С2","Фрунзенская,Спортивная,Спортивная",65000000,1,Открытая,Монолитный,На улицу и двор,Нет информации,,2014,,Нет информации,65,,2 совмещенных,"2,9 м",Вторичка Апартаменты,Дизайнерский,,Нет,,1 пассажирский,10,,
291376670,4,"Москва,ЦАО,р-н Якиманка,ул. Большая Полянка,44","Полянка,Новокузнецкая,Третьяковская",185000000,1,Подземная,,На улицу и двор,Железобетонные,87,2019,1 балкон,Индивидуальный тепловой пункт,159,11,3 раздельных,"3,4 м",Вторичка,Без ремонта,Индивидуальный проект,Нет,Нет,1 пассажирский,13,,
289081575,1,"Московская область,Мытищи,мкр. Олимпийский,Мытищи Парк жилой комплекс,к4","Медведково,Бабушкинская,Белокаменная",6489849,1,Открытая,Монолитный,,,"13,5",,,,"31,6",,1 совмещенный,"2,78 м",Новостройка,,,,,"1 пассажирский, 1 грузовой","10,2",,Чистовая
286777549,6,"Москва,ЗАО,р-н Раменки,Мосфильмовская ул.,1А","Ломоносовский проспект,Минская,Парк Победы",380000000,1,,Монолитный,,Железобетонные,,2020,,Центральное,"303,8",1,4 совмещенных,"3,35 м",Вторичка,,Индивидуальный проект,Нет,,,,,
285926750,4,"Москва,ЦАО,р-н Пресненский,1-й Красногвардейский проезд,22с1","Международная,Деловой центр",170000000,1,Подземная,Монолитный,На улицу,,140,,,,210,,"3 совмещенных, 1 раздельный",,Вторичка Апартаменты,Дизайнерский,,,,,45,,
289484549,3,"Москва,ЦАО,р-н Тверской,1-я Тверская-Ямская ул.,2","Маяковская,Тверская,Пушкинская",215560000,1,Подземная,Монолитный,Во двор,,,,,,112,,"2 совмещенных, 1 раздельный",,Новостройка Апартаменты,,,,,,"7,4",,Чистовая с мебелью
291142018,5,"Москва,СВАО,р-н Алексеевский,Новоалексеевская ул.,16к3","Алексеевская,Рижская,ВДНХ",82000000,1,Подземная,Монолитный,На улицу и двор,Железобетонные,"77,7",2019,1 лоджия,Центральное,179,11,3 совмещенных,"3,25 м",Вторичка,Без ремонта,Индивидуальный проект,Нет,,"1 пассажирский, 1 грузовой",33,,
290747642,3,"Москва,ЗАО,р-н Раменки,Винницкая ул.,8к3","Раменки,Ломоносовский проспект,Мичуринский проспект",45845872,1,,Монолитный,,,"43,6",,,,"93,2",,,"3,12 м",Новостройка,,,,,,"21,8",,Без отделки
291334751,2,"Московская область,Красногорск,мкр. Южный,Заводская ул.,18к3",,9400000,4593,,Блочный,,Железобетонные,,2020,1 лоджия,Центральное,"53,8",4,,3 м,Вторичка,Без ремонта,,Нет,,"1 пассажирский, 2 грузовых",,,
286630565,6,"Москва,ЦАО,р-н Хамовники,Молочный пер.,7",Парк Культуры,1420675500,1,Подземная,Монолитный,,Нет информации,,2007,,Нет информации,584,1,1 совмещенный,,Вторичка,Евроремонт,,Нет,,,,,
280517726,4,"Московская область,Балашиха,мкр. Балашиха-1,ул. Флерова,5/2","Новогиреево,Новокосино",9900000,4593,Наземная,Кирпичный,Во двор,Железобетонные,"54,3",1940,"1 лоджия, 2 балкона",Центральное,"78,5",6,1 раздельный,3 м,Вторичка,Косметический,II-01,Нет,,,"7,6",Центральное,
